xxwtx8g012	me da igual	I don't mind	reference	audit:reviewed	Audit: fine as-is.
qhznzi6ug8	no hay [algo singular]	there isn't [something singular]	core	audit:reviewed	Audit: fine as-is.
ker7jy3lyb	no hay [cosas plurales]	there aren't [plural things]	core	audit:reviewed	Audit: fine as-is.
jwk81y46bp	no poder [hacer algo]	can't [do something]	core	audit:reviewed	Audit: fine as-is.
rdpiq554g6	no poder [hacer algo]	cannot [do something]	supporting	audit:reviewed	Audit: fine as-is.
7a3ugond7f	[alguien] caerle mal a [alguien]	[somebody] not to like [somebody]	supporting	audit:reviewed	Audit: fine as-is.
gzfxm4mq6e	no conseguir [hacer algo]	not to seem able to [do something]	reference	audit:reviewed	Audit: fine as-is.
imzixo6ntc	no conseguir [hacer algo]	to fail to [do something]	reference	audit:reviewed	Audit: fine as-is.
dav762mjhb	creer que no	not to think so	supporting	audit:reviewed	Audit: fine as-is.
nkzffs81a6	no poder creer [algo]	not to be able to believe [something]	reference	audit:reviewed	Audit: fine as-is.
i4siv85tf9	no deber [hacer algo]	must not [do something]	supporting	audit:reviewed	Audit: fine as-is.
nyjodxeo12	no deber [hacer algo]	mustn't [do something]	supporting	audit:reviewed	Audit: fine as-is.
shtk95phvk	no debería [hacer algo]	should not [do something]	supporting	audit:reviewed	Audit: fine as-is.
7uxwcm2q2o	no debería [hacer algo]	shouldn't [do something]	supporting	audit:reviewed	Audit: fine as-is.
wx0aqskuor	no recordar [algo]	can't remember [something]	supporting	audit:reviewed	Audit: fine as-is.
g4s8ww83pl	no sé	I don't know	supporting	audit:reviewed	Audit: fine as-is.
jyk96g78cb	no ser para tanto	not to be a big deal	reference	audit:reviewed	Audit: fine as-is.
22weg7i165	no [tener] significado	[to be] meaningless	reference	audit:reviewed	Audit: fine as-is.
xhm0xh7x5i	no soler [hacer algo]	not to usually [do something]	reference	audit:reviewed	Audit: fine as-is.
5awfswdavw	no tener nada que ver con [algo]	to have nothing to do with [something]	reference	audit:reviewed	Audit: fine as-is.
4u372gr66c	no valer	not to count	reference	audit:reviewed	Audit: fine as-is.
jthckb9ofh	no [valer]	not [to be] fair	reference	audit:reviewed	Audit: fine as-is.
ygutauf9ji	no volver a [hacer algo]	not to [do something] again	reference	audit:reviewed	Audit: fine as-is.
90l7vci1mc	no acordarse de [algo]	not to remember [something]	reference	audit:reviewed	Audit: fixed malformed gloss ("to can't remember" is not valid English) to match the "not to [verb]" infinitive convention used by sibling rows in this facet.
5hed68eq4q	no lograr [hacer algo]	can't seem to [do something]	reference	audit:reviewed	Audit: fine as-is.
9gk6xesysy	casi no [hacer algo]	to hardly [do something]	reference	audit:reviewed	Audit: fine as-is.
dhyt13en8w	no [hacer algo] ni [hacer otra cosa]	neither [to do something] nor [to do something else]	reference	audit:reviewed	Audit: fine as-is.
i4tdzuamg4	ni [alguien] ni [alguien]	neither [somebody] nor [somebody]	reference	audit:reviewed	Audit: fine as-is.
52dbadce2l	no [hacer algo] siquiera [una vez]	not to [do something] even [once]	reference	audit:reviewed	Audit: fine as-is.
v96gg2fw1q	ni siquiera [hacer algo]	not even to [do something]	reference	audit:reviewed	Audit: fine as-is.
wmzhjqoerd	sin [algo]	without [something]	reference	audit:reviewed	Audit: fine as-is.
tpnbbxdlyr	llevar [tiempo] sin [hacer algo]	not to have [done something] for [a period of time]	reference	audit:reviewed	Audit: fine as-is.
avsnfusolj	tampoco	either	supporting	audit:reviewed	Audit: fine as-is.
dzzngcl5ri	no dejar de [hacer algo]	to keep [doing something]	reference	audit:reviewed	Audit: fine as-is.
cecjai7o3s	ya no	not anymore	supporting	audit:reviewed	Audit: fine as-is.
inefeucgpz	[seguir] sin [algo]	[to remain] [adjective]	reference	audit:reviewed	Audit: fine as-is.
2uzud05u1l	no [hago algo]	I don't [do something]	core	audit:reviewed	Audit: fine as-is.
mrssm64iu9	[alguien] no [hace algo]	[somebody] doesn't [do something]	core	audit:reviewed	Audit: fine as-is.
rz2ue36k0f	[alguien] no [hizo algo]	[somebody] didn't [do something]	core	audit:reviewed	Audit: fine as-is.
id38r2eakh	no haber [hecho algo]	not to have [done something]	supporting	audit:reviewed	Audit: fine as-is.
2pvko71bzc	no haber [hecho algo] (hablado)	haven't [done something]	supporting	audit:reviewed	Audit: fine as-is.
22pjks5vmh	no tener que [hacer algo]	not to have to [do something]	core	audit:reviewed	Audit: fine as-is.
84arllzyhs	no podría [hacer algo]	couldn't [do something]	supporting	audit:reviewed	Audit: fine as-is.
5unz3dwyz7	estar prohibido [hacer algo]	must not [do something]	supporting	audit:reviewed	Audit: fine as-is.
ytzftmquqs	estar prohibido [hacer algo]	mustn't [do something]	supporting	audit:reviewed	Audit: fine as-is.
di2yhfha43	no [haré algo]	won't [do something]	core	audit:reviewed	Audit: fine as-is.
yjkuu2ysaa	no [haría algo]	wouldn't [do something]	supporting	audit:reviewed	Audit: fine as-is.
p3fuo2folk	No como carne.	I don't eat meat.	supporting	audit:reviewed	Audit: fine as-is.
4e8vpd4tbg	Ella no come carne.	She doesn't eat meat.	supporting	audit:reviewed	Audit: fine as-is.
zkkcxirv4g	No fui a la fiesta.	I didn't go to the party.	supporting	audit:reviewed	Audit: fine as-is.
9hsbrn2qzb	Ella no es doctora.	She isn't a doctor.	supporting	audit:reviewed	Audit: fine as-is.
6a2v9efdpz	Ellos no son de aquí.	They aren't from here.	supporting	audit:reviewed	Audit: fine as-is.
waj96uzzcf	No estaba listo.	I wasn't ready.	supporting	audit:reviewed	Audit: fine as-is.
5tbq59flnh	No estaban en casa.	They weren't home.	supporting	audit:reviewed	Audit: fine as-is.
3ymcnkevwg	Ella no ha llegado.	She hasn't arrived.	supporting	audit:reviewed	Audit: fine as-is.
9hj8rdegpe	No había terminado cuando llegaron.	I hadn't finished when they arrived.	supporting	audit:reviewed	Audit: fine as-is.
t1monumdj4	¿No comes carne?	Don't you eat meat?	supporting	audit:reviewed	Audit: fine as-is.
aq0gtmpie2	¿No lo sabe él?	Doesn't he know?	supporting	audit:reviewed	Audit: fine as-is.
362prshjtp	¿No fueron a la fiesta?	Didn't they go to the party?	supporting	audit:reviewed	Audit: fine as-is.
i53efix8bb	¿No es verdad?	Isn't it true?	supporting	audit:reviewed	Audit: fine as-is.
erzwuc6ywd	¿No estás listo?	Aren't you ready?	supporting	audit:reviewed	Audit: fine as-is.
q98pxxzqf3	No cierres la puerta.	Don't close the door.	supporting	audit:reviewed	Audit: fine as-is.
pdc3u4lu4a	No cierre la puerta.	Don't close the door.	reference	audit:reviewed	Audit: fine as-is — usted-register command, correctly one tier below the tú-register sibling.
