ux2hr6u37r	hágalo	do it	reference	topic:imperative|imp:affirmative-formal	New Imperatives & Commands topic page.		
t46e4xr47y	háganlo	do it	reference	topic:imperative|imp:affirmative-formal	New Imperatives & Commands topic page.		
xuna1emcr1	háganoslo	do it for us	reference	topic:imperative|imp:affirmative-formal	New Imperatives & Commands topic page.		
rrxe7cd85d	cállate	be quiet	reference	topic:imperative|imp:affirmative-informal	New Imperatives & Commands topic page.		
r4wshfw0zl	cállate	shut up	reference	topic:imperative|imp:affirmative-informal	New Imperatives & Commands topic page.		
5f0wqk4dj5	¡escucha!	listen up!	reference	topic:imperative|imp:affirmative-informal	New Imperatives & Commands topic page.		
o4ei6afgu0	[tener] cuidado	[to be] careful	core	topic:imperative|imp:affirmative-informal	New Imperatives & Commands topic page.		
vhzosajtoy	[tener] paciencia	[to be] patient	reference	topic:imperative|imp:affirmative-informal	New Imperatives & Commands topic page.		
e3tv0u3qze	hazlo	do it	supporting	topic:imperative|imp:affirmative-informal	New Imperatives & Commands topic page.		
aojc7un24g	no lo hagas	don't do it	supporting	topic:imperative|imp:negative	New Imperatives & Commands topic page.		
9v6o0rhpio	vamos	let's go	supporting	topic:imperative|imp:lets	New Imperatives & Commands topic page.		
j6ba7pl20y	no lo hagamos	let's not do it	supporting	topic:imperative|imp:lets	New Imperatives & Commands topic page.		
8errr3uadz	hagámoslo	let's do it	supporting	topic:imperative|imp:lets	New Imperatives & Commands topic page.		
