# spanish	english	exampleSpanish	exampleEnglish	role	collections
estoy [haciendo algo]	I am [doing something]	Estoy hablando con ella.	I am speaking with her.	core	pos:verb|sense:estar-progresivo|conjugation:present|conjugation:1sg|conjugation:irregular|es:estar|en:am|grammar:progressive|form:present-participle|construction:be-present-participle
estás [haciendo algo]	you are [doing something]	Estás trabajando mucho.	You are working a lot.	supporting	pos:verb|sense:estar-progresivo|conjugation:present|conjugation:2sg|conjugation:irregular|es:estar|en:are|grammar:progressive
está [haciendo algo]	is [doing something]	Ella está estudiando.	She is studying.	core	pos:verb|sense:estar-progresivo|conjugation:present|conjugation:3sg|conjugation:irregular|es:estar|en:is|grammar:progressive
estamos [haciendo algo]	we are [doing something]	Estamos comiendo.	We are eating.	supporting	pos:verb|sense:estar-progresivo|conjugation:present|conjugation:1pl|conjugation:irregular|es:estar|en:are|grammar:progressive
están [haciendo algo]	they are [doing something]	Ellos están esperando.	They are waiting.	supporting	pos:verb|sense:estar-progresivo|conjugation:present|conjugation:3pl|conjugation:irregular|es:estar|en:are|grammar:progressive
voy a [un lugar]	I am going to [a place]	Voy a la oficina.	I am going to the office.	core	pos:verb|sense:ir-destino|conjugation:present|conjugation:1sg|conjugation:irregular|es:ir|en:go|topic:location
vas a [un lugar]	you are going to [a place]	Vas a la escuela.	You are going to the school.	supporting	pos:verb|sense:ir-destino|conjugation:present|conjugation:2sg|conjugation:irregular|es:ir|en:go|topic:location
va a [un lugar]	is going to [a place]	Ella va al parque.	She is going to the park.	core	pos:verb|sense:ir-destino|conjugation:present|conjugation:3sg|conjugation:irregular|es:ir|en:go|topic:location
vamos a [un lugar]	we are going to [a place]	Vamos a la casa de Ana.	We are going to Ana's house.	supporting	pos:verb|sense:ir-destino|conjugation:present|conjugation:1pl|conjugation:irregular|es:ir|en:go|topic:location
van a [un lugar]	they are going to [a place]	Ellos van al mercado.	They are going to the market.	supporting	pos:verb|sense:ir-destino|conjugation:present|conjugation:3pl|conjugation:irregular|es:ir|en:go|topic:location
soy de [un lugar]	I am from [a place]	Soy de Colombia.	I am from Colombia.	core	pos:verb|sense:ser-origen|conjugation:present|conjugation:1sg|conjugation:irregular|es:ser|en:from|grammar:origin
