w7bu9jslac	querer [algo]	to want [something]	core	es:querer|en:want	lemma facet derived from headword
df1fa2p3xy	querer [hacer algo]	to want [to do something]	core	es:querer|en:want	lemma facet derived from headword
z3i6f8s1or	querer que [alguien] [haga algo]	to want [somebody] [to do something]	core	es:querer|en:want	lemma facet derived from headword
5hlohr9z3f	querer a [alguien]	to love [somebody]	supporting	es:querer|en:love	lemma facet derived from headword
592w2y5gz1	querer decir	to mean	supporting	es:querer|en:mean	lemma facet derived from headword
dvodf0y7wx	quisiera [algo]	would like [something]	supporting	es:querer|en:like	lemma facet derived from headword
dnwd7gmll5	quisiera [hacer algo]	would like [to do something]	supporting	es:querer|en:like	lemma facet derived from headword
9h3jno3320	quisiera que [alguien] [hiciera algo]	would like [somebody] [to do something]	supporting	es:querer|en:like	lemma facet derived from headword
lennoglnrf	quiso [hacer algo] (intento no logrado)	tried [to do something]	reference	es:querer|en:tried	lemma facet derived from headword
e6kt0s21ap	no quiso [hacer algo]	refused [to do something]	reference	es:querer|en:refused	lemma facet derived from headword
bxt46dkdag	no quiso [hacer algo]	wouldn't [do something]	reference	es:querer|en:wouldn't	lemma facet derived from headword
tbpj623d3b	querer [hacer algo] (tener la intención)	to mean [to do something]	reference	es:querer|en:mean	lemma facet derived from headword
p2ddtuwn9m	sin querer	accidentally	reference	es:sin|en:accidentally	lemma facet derived from headword
e2msmadaj6	sin querer	unintentionally	reference	es:sin|en:unintentionally	lemma facet derived from headword
etjg9ef1sp	[hacer algo] queriendo	[to do something] on purpose	reference	es:querer|en:on	lemma facet derived from headword
yfd5jg73vc	[hacer algo] queriendo	[to do something] deliberately	reference	es:querer|en:deliberately	lemma facet derived from headword
vk5c4vsrnd	donde quieras	wherever you want	supporting	es:donde|en:wherever	lemma facet derived from headword
rr28vy1oq0	cuando quieras	whenever you want	supporting	es:cuando|en:whenever	lemma facet derived from headword
7xvappewlv	lo que quieras	whatever you want	supporting	es:que|en:whatever	lemma facet derived from headword
8st8uc3ose	quien quiera	whoever wants to	supporting	es:quien|en:whoever	lemma facet derived from headword
j6x3otw9pi	como quieras	however you want	supporting	es:como|en:however	lemma facet derived from headword
9tdm1v0loz	como quieras	as you wish	reference	es:como|en:as	lemma facet derived from headword
