foy4696l7r	el	the	core	es:el	accent-correct es: lemma (es:él -> es:el)
p5528lcbf2	aún no	not yet	reference	es:aún	accent-correct es: lemma (es:aun -> es:aún)
7lxhk2vc3g	cómo	how	core	es:cómo	accent-correct es: lemma (es:como -> es:cómo)
3ov21pqb58	cuándo	when	core	es:cuándo	accent-correct es: lemma (es:cuando -> es:cuándo)
d11xp5btf2	quién	who	core	es:quién	accent-correct es: lemma (es:quien -> es:quién)
0t9g2lohg7	dónde	where	core	es:dónde	accent-correct es: lemma (es:donde -> es:dónde)
7izjvheben	lo cual	which	reference	es:cual	accent-correct es: lemma (es:cuál -> es:cual)
b1uohuf8wn	¡qué [adjetivo] [sustantivo]!	what a [adjective] [noun]!	reference	es:qué	accent-correct es: lemma (es:que -> es:qué)
dhxw09o9vs	¡qué [adjetivo]!	how [adjective]!	reference	es:qué	accent-correct es: lemma (es:que -> es:qué)
2f7mb9mt9a	qué (exclamativo)	what	reference	es:qué	accent-correct es: lemma (es:que -> es:qué)
hnd0boisxm	qué (interrogativo)	what	core	es:qué	accent-correct es: lemma (es:que -> es:qué)
y1roq1cyk2	qué (exclamativo)	how	reference	es:qué	accent-correct es: lemma (es:que -> es:qué)
vk5arw3nk6	sí	yes	reference	es:sí	accent-correct es: lemma (es:si -> es:sí)
lrfioq96ny	¿cuándo [ocurre algo]?	when does [something happen]?	reference	es:cuándo	accent-correct es: lemma (es:cuando -> es:cuándo)
cboe3ncvvg	¿dónde está [algo]?	where is [something]?	reference	es:dónde	accent-correct es: lemma (es:donde -> es:dónde)
erzbzs0gzc	¿a qué hora [ocurre algo]?	what time [does something happen]?	reference	es:qué	accent-correct es: lemma (es:que -> es:qué)
ltag03rg5k	¿cómo [hacer algo]?	how do you [do something]?	reference	es:cómo	accent-correct es: lemma (es:como -> es:cómo)
