24de35h6nw	darse por vencido	to give up	supporting		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
k4qa6qb9oa	[ser] poderoso (gran fuerza)	[to be] mighty	reference		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
odt3toa8kl	la consideración ==> ser desconsiderado	the thought ==> to be thoughtless	reference		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
wl72zn36ht	ser inferior ==> ser el de más abajo	to be lower ==> to be lowermost	reference		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).	Eso es el de más abajo.	That is lowermost.
lxqyj1kx0z	ser alto ==> ser algo alto	to be tall ==> to be tallish	reference		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
4t8czsc1e6	ser pequeño ==> ser algo pequeño	to be small ==> to be smallish	reference		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
oedeaeps1f	muchos [sustantivos contables]	many [countable nouns]	reference		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
iy5z32hskd	tanto [sustantivo no contable]	so much [uncountable noun]	supporting		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
ml2usxu7by	[estar] perdido	[to be] lost	supporting		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
yome0dqotg	[ser] pesado	[to be] heavy	supporting		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
sjlvvxcwpy	[período] pasado	last [period]	supporting		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
zxr6a7pbp5	[ser] poderoso	[to be] powerful	reference		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
p3iz88j7nj	otro [sustantivo]	another [noun]	supporting		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
4f77g5k631	solo	alone	supporting		Collapse masculine/feminine slash notation to bare masculine form (pure grammatical agreement; translation unchanged).		
