# Infinitive normalization — estar: fragments sent to Trash (never hard-deleted).
# id	role	reason
4uptsafx20	Trash	fragment «estoy [haciendo algo] → I am [doing something]» folded into infinitive use «estar [haciendo algo] → to be [doing something]» (f2zryn85p8); owner rule 2026-09-16
g2rq6v6czz	Trash	fragment «estás [haciendo algo] → you are [doing something]» folded into infinitive use «estar [haciendo algo] → to be [doing something]» (f2zryn85p8); owner rule 2026-09-16
9yf8jsp2b1	Trash	fragment «está [haciendo algo] → is [doing something]» folded into infinitive use «estar [haciendo algo] → to be [doing something]» (f2zryn85p8); owner rule 2026-09-16
4e3tp75nnw	Trash	fragment «estamos [haciendo algo] → we are [doing something]» folded into infinitive use «estar [haciendo algo] → to be [doing something]» (f2zryn85p8); owner rule 2026-09-16
bb48xm25wt	Trash	fragment «están [haciendo algo] → they are [doing something]» folded into infinitive use «estar [haciendo algo] → to be [doing something]» (f2zryn85p8); owner rule 2026-09-16
5pzoflm3f4	Trash	fragment «[alguien] estaba [haciendo algo] → [somebody] was [doing something]» folded into infinitive use «estar [haciendo algo] → to be [doing something]» (f2zryn85p8); owner rule 2026-09-16
jsajob6okd	Trash	fragment «¿[alguien] estaba [haciendo algo]? → was [somebody] [doing something]?» folded into infinitive use «estar [haciendo algo] → to be [doing something]» (f2zryn85p8); owner rule 2026-09-16
spnqzmy3g5	Trash	fragment «¿[alguien] está [haciendo algo]? → is [somebody] [doing something]?» folded into infinitive use «estar [haciendo algo] → to be [doing something]» (f2zryn85p8); owner rule 2026-09-16
qondlt4ahl	Trash	fragment «[alguien] estará [haciendo algo] → [somebody] will be [doing something]» folded into infinitive use «estar [haciendo algo] → to be [doing something]» (f2zryn85p8); owner rule 2026-09-16
nxcynwooyz	Trash	fragment «[alguien] estaría [haciendo algo] → [somebody] would be [doing something]» folded into infinitive use «estar [haciendo algo] → to be [doing something]» (f2zryn85p8); owner rule 2026-09-16
