# Infinitive normalization — poder: fragments sent to Trash (never hard-deleted).
# id	role	reason
kdqtl39s0m	Trash	fragment «pudo [hacer algo] (oportunidad) → got to [do something]» folded into infinitive use «poder [hacer algo] (oportunidad) → to get to [do something]» (rhb07wm3u7); owner rule 2026-09-16
0x5jkr1aja	Trash	fragment «no pudo [hacer algo] (oportunidad perdida) → didn't get to [do something]» folded into infinitive use «poder [hacer algo] (oportunidad) → to get to [do something]» (rhb07wm3u7); owner rule 2026-09-16
cl4hfx7beh	Trash	fragment «podía [hacer algo] (capacidad general) → could [do something]» folded into infinitive use «poder [hacer algo] (pasado) → could [do something]» (dugiwco70z); owner rule 2026-09-16
3lk22b2pth	Trash	fragment «podía [hacer algo] (permiso habitual) → could [do something]» folded into infinitive use «poder [hacer algo] (pasado) → could [do something]» (dugiwco70z); owner rule 2026-09-16
al22a3sck3	Trash	fragment «pudo [hacer algo] (éxito específico) → was able to [do something]» folded into infinitive use «poder [hacer algo] → to be able [to do something]» (mxguwwzrxk); owner rule 2026-09-16
gtr8psda9i	Trash	fragment «podría [hacer algo] (capacidad condicional explícita) → would be able to [do something]» folded into infinitive use «poder [hacer algo] → to be able [to do something]» (mxguwwzrxk); owner rule 2026-09-16
278hopgdpm	Trash	fragment «había podido [hacer algo] → had been able to [do something]» folded into infinitive use «poder [hacer algo] → to be able [to do something]» (mxguwwzrxk); owner rule 2026-09-16
rblsgxrrm1	Trash	fragment «he podido [hacer algo] → have been able to [do something]» folded into infinitive use «poder [hacer algo] → to be able [to do something]» (mxguwwzrxk); owner rule 2026-09-16
r2y6wfhr6z	Trash	fragment «podría [hacer algo] → could [do something]» folded into infinitive use «poder [hacer algo] (condicional) → could [do something]» (ipa706hrsh); owner rule 2026-09-16
q0xx0fzsx3	Trash	fragment «pueda [hacer algo] (cláusula subordinada) → can [do something]» folded into infinitive use «poder [hacer algo] (permiso) → can [do something]» (nk4hb2zaok); owner rule 2026-09-16
tlwmwkpfcj	Trash	fragment «podía [hacer algo] (permiso habitual) → was allowed to [do something]» folded into infinitive use «poder [hacer algo] (tener permiso) → to be allowed to [do something]» (a1eubfzyp5); owner rule 2026-09-16
3qq5q3d71a	Trash	fragment «habría podido [hacer algo] → could have [done something]» folded into infinitive use «poder haber [hecho algo] (especulación) → could have [done something]» (qzm188rl47); owner rule 2026-09-16
93vebts2ml	Trash	fragment «habría podido [hacer algo] (hablado) → could've [done something]» folded into infinitive use «poder haber [hecho algo] (especulación) → could have [done something]» (qzm188rl47); owner rule 2026-09-16
