# Infinitive normalization — ser: fragments sent to Trash (never hard-deleted).
# id	role	reason
n8ahr1jble	Trash	fragment «soy [adjetivo] → I am [adjective]» folded into infinitive use «ser [adjetivo] → to be [adjective]» (46elg5u15i); owner rule 2026-09-16
hfip8vre8c	Trash	fragment «eres [adjetivo] → you are [adjective]» folded into infinitive use «ser [adjetivo] → to be [adjective]» (46elg5u15i); owner rule 2026-09-16
9c2am535n8	Trash	fragment «es [adjetivo] → is [adjective]» folded into infinitive use «ser [adjetivo] → to be [adjective]» (46elg5u15i); owner rule 2026-09-16
kqssflfv3m	Trash	fragment «somos [adjetivo] → we are [adjective]» folded into infinitive use «ser [adjetivo] → to be [adjective]» (46elg5u15i); owner rule 2026-09-16
elhfo7u8o3	Trash	fragment «son [adjetivo] → they are [adjective]» folded into infinitive use «ser [adjetivo] → to be [adjective]» (46elg5u15i); owner rule 2026-09-16
iy31grrg95	Trash	fragment «soy de [un lugar] → I am from [a place]» folded into infinitive use «ser de [un lugar] → to be from [a place]» (2z3yhpg9ve); owner rule 2026-09-16
6zy7d60lhd	Trash	fragment «eres de [un lugar] → you are from [a place]» folded into infinitive use «ser de [un lugar] → to be from [a place]» (2z3yhpg9ve); owner rule 2026-09-16
25qdaau47d	Trash	fragment «es de [un lugar] → is from [a place]» folded into infinitive use «ser de [un lugar] → to be from [a place]» (2z3yhpg9ve); owner rule 2026-09-16
ht2nxiu107	Trash	fragment «somos de [un lugar] → we are from [a place]» folded into infinitive use «ser de [un lugar] → to be from [a place]» (2z3yhpg9ve); owner rule 2026-09-16
w8b4nwsykp	Trash	fragment «son de [un lugar] → they are from [a place]» folded into infinitive use «ser de [un lugar] → to be from [a place]» (2z3yhpg9ve); owner rule 2026-09-16
05558aoht5	Trash	fragment «son las [hora] → it's [time]» folded into infinitive use «ser [una hora o fecha] → to be [a time or date]» (6vgdzpegua); owner rule 2026-09-16
shzp9wzrxq	Trash	fragment «son las [hora y minutos] → it's [hour and minutes]» folded into infinitive use «ser [una hora o fecha] → to be [a time or date]» (6vgdzpegua); owner rule 2026-09-16
7irrsf9sy8	Trash	fragment «es la una → it's one o'clock» folded into infinitive use «ser [una hora o fecha] → to be [a time or date]» (6vgdzpegua); owner rule 2026-09-16
