# Infinitive normalization — tener: fragments sent to Trash (never hard-deleted).
# id	role	reason
8mpe0b3ksv	Trash	fragment «tengo [número] años → I am [number] years old» folded into infinitive use «tener [número] años → to be [number] years old» (ccrgp9wvgz); owner rule 2026-09-16
ksjxfltxqk	Trash	fragment «tienes [número] años → you are [number] years old» folded into infinitive use «tener [número] años → to be [number] years old» (ccrgp9wvgz); owner rule 2026-09-16
a5e2xjebla	Trash	fragment «tiene [número] años → is [number] years old» folded into infinitive use «tener [número] años → to be [number] years old» (ccrgp9wvgz); owner rule 2026-09-16
qh9awmasdd	Trash	fragment «tenemos [número] años → we are [number] years old» folded into infinitive use «tener [número] años → to be [number] years old» (ccrgp9wvgz); owner rule 2026-09-16
680u7m5wn5	Trash	fragment «tienen [número] años → they are [number] years old» folded into infinitive use «tener [número] años → to be [number] years old» (ccrgp9wvgz); owner rule 2026-09-16
yye01uov38	Trash	fragment «tengo que [hacer algo] → I have to [do something]» folded into infinitive use «tener que [hacer algo] → to have to [do something]» (7s7vnrgxud); owner rule 2026-09-16
kjllit1qgt	Trash	fragment «tienes que [hacer algo] → you have to [do something]» folded into infinitive use «tener que [hacer algo] → to have to [do something]» (7s7vnrgxud); owner rule 2026-09-16
ogdv00s3cw	Trash	fragment «tiene que [hacer algo] → has to [do something]» folded into infinitive use «tener que [hacer algo] → to have to [do something]» (7s7vnrgxud); owner rule 2026-09-16
ny8jxz2s41	Trash	fragment «tenemos que [hacer algo] → we have to [do something]» folded into infinitive use «tener que [hacer algo] → to have to [do something]» (7s7vnrgxud); owner rule 2026-09-16
x9hss06n9a	Trash	fragment «tienen que [hacer algo] → they have to [do something]» folded into infinitive use «tener que [hacer algo] → to have to [do something]» (7s7vnrgxud); owner rule 2026-09-16
zugopbh0jt	Trash	fragment «¿[alguien] tiene que [hacer algo]? → does [somebody] have to [do something]?» folded into infinitive use «tener que [hacer algo] → to have to [do something]» (7s7vnrgxud); owner rule 2026-09-16
dj00e4gi88	Trash	fragment «¿[alguien] tenía que [hacer algo]? → did [somebody] have to [do something]?» folded into infinitive use «tener que [hacer algo] → to have to [do something]» (7s7vnrgxud); owner rule 2026-09-16
