DELETE	transformation	meaningless umbrella tag
DELETE	cognate	meaningless umbrella tag
MERGE	true cognate	cognate:true
DELETE	vocabulary	meaningless umbrella tag
RENAME	verb	pos:verb
RENAME	spelling pattern	cognate:spelling-pattern
DELETE	past and past participle	meaningless umbrella tag
MERGE	verb form transformation	morphology:inflection
RENAME	noun	pos:noun
DELETE	structure	meaningless umbrella tag
RENAME	irregular	form:irregular
RENAME	adjective	pos:adjective
RENAME	sound metadata pending review	sound:needs-review
RENAME	phrasal verb	grammar:phrasal-verb
RENAME	past equals past participle	form:past-equals-participle
MERGE	transformation relationship	morphology:derivation
RENAME	verb + preposition	construction:prepositional-verb
RENAME	past participle	form:past-participle
RENAME	past	form:past
DELETE	base => past participle	redundant with form: facet
DELETE	base => past	redundant with form: facet
MERGE	verb forms	construction:verb-forms
RENAME	selected high-frequency cognate	cognate:high-frequency
RENAME	limited transformation	morphology:limited
RENAME	sound metadata reviewed	sound:reviewed
RENAME	time	topic:time
MERGE	verb form relationship	morphology:inflection
RENAME	regular variant	form:regular-variant
MERGE	uses third-person present	form:third-person
MERGE	verb form: third-person present	form:third-person
MERGE	Spanish -a/-e memory bridge	cognate:memory-bridge
DELETE	01-direct	numeric migration folder name
MERGE	direct	cognate:direct
MERGE	direct cognate	cognate:direct
RENAME	reflexive	grammar:reflexive
DELETE	adjectives and states	meaningless umbrella tag
RENAME	adverb	pos:adverb
RENAME	direction	topic:direction
RENAME	number	pos:number
RENAME	date	topic:date
RENAME	productive transformation	morphology:productive
RENAME	question	grammar:question
DELETE	03-word-families	numeric migration folder name
DELETE	word family	meaningless umbrella tag
MERGE	word family cognate	cognate:word-family
DELETE	04-memory-bridges	numeric migration folder name
RENAME	connector	pos:connector
MERGE	memory bridge	cognate:memory-bridge
MERGE	memory bridge cognate	cognate:memory-bridge
RENAME	up	particle:up
RENAME	out	particle:out
RENAME	modal	grammar:modal
RENAME	recognition family	morphology:recognition
RENAME	transformation: noun => adjective	morphology:noun-to-adjective
RENAME	transformation: verb => noun	morphology:verb-to-noun
RENAME	followed by bare infinitive	construction:followed-by-bare-infinitive
RENAME	negative	grammar:negative
RENAME	in	particle:in
RENAME	location	topic:location
RENAME	on	particle:on
RENAME	a => to	construction:map-a-to
RENAME	followed by full infinitive	construction:followed-by-full-infinitive
MERGE	uses present participle	form:present-participle
RENAME	transformation: adjective => noun	morphology:adjective-to-noun
MERGE	uses bare infinitive	form:bare-infinitive
MERGE	verb form: bare infinitive	form:bare-infinitive
RENAME	pronoun	pos:pronoun
RENAME	gerund	grammar:gerund
