2qn9jrryai	[dejar] [algo] claro	[to make] [something] clear	reference		adjective copula bracketing batch
bilb51sumb	[dejar] a [alguien] [en un estado]	[to make] [somebody] [an adjective]	reference		adjective copula bracketing batch
tzy94y3hmu	[dejar] a [alguien] [en un estado]	[to leave] [somebody] [in a state]	reference		adjective copula bracketing batch
lv3d9lcju3	[estar] abierto/a	[to be] open	supporting		adjective copula bracketing batch
vfjhy0rgs4	[estar] aburrido/a	[to be] bored	supporting		adjective copula bracketing batch
897t46ipdb	[estar] acabado/a	[to be] finished	reference		adjective copula bracketing batch
grd35t3yb8	[estar] acostumbrado/a a [algo]	[to be] used to [something]	supporting		adjective copula bracketing batch
xfvz8hc2n8	[estar] activo	[to be] active	reference		adjective copula bracketing batch
ta7tkxiwoz	[estar] ausente	[to be] away	reference		adjective copula bracketing batch
pnonowj90v	[estar] bien	[to be] all right	reference		adjective copula bracketing batch
me7opeedkf	[estar] bien	[to be] fine	reference		adjective copula bracketing batch
qcjby6hnvc	[estar] bien	[to be] alright	reference		adjective copula bracketing batch
grd7p3e7kw	[estar] bien pensado/a	[to be] well thought out	reference		adjective copula bracketing batch
0v47ifpsxd	[estar] casado/a con [alguien]	[to be] married to [somebody]	supporting		adjective copula bracketing batch
a12miruf57	[estar] disponible	[to be] available	supporting		adjective copula bracketing batch
nc5yb5f5cn	[estar] disponible	[to be] free	reference		adjective copula bracketing batch
g6oc9u02od	[estar] dispuesto a [hacer algo]	[to be] willing to [do something]	reference		adjective copula bracketing batch
p83sgqivs1	[estar] dispuesto a [hacer algo]	[to be] ready to [do something]	reference		adjective copula bracketing batch
9v5e2r6rkb	[estar] en blanco	[to be] blank	reference		adjective copula bracketing batch
afevkeg23w	[estar] enamorado/a de [alguien]	[to be] in love with [somebody]	reference		adjective copula bracketing batch
97xjph1sfx	[estar] equivocado/a	[to be] wrong	supporting		adjective copula bracketing batch
z15w4qnu5h	[estar] estable	[to be] stable	reference		adjective copula bracketing batch
e3c7jcskou	[estar] intacto	[to be] intact	reference		adjective copula bracketing batch
mdayqm9som	[estar] interesado/a en [algo]	[to be] interested in [something]	supporting		adjective copula bracketing batch
c5f9nw0nq0	[estar] junto a [alguien/algo]	[to be] next to [somebody/something]	reference		adjective copula bracketing batch
1ers9if1ue	[estar] juntos	[to be] together	reference		adjective copula bracketing batch
