fe9o47t8x2	al parecer	apparently	reference	audit:reviewed	Audit: fine as-is.
0pj00hx6vk	sea como sea	anyway	reference	audit:reviewed	Audit: fine as-is.
0jle9bry8q	de pronto	maybe	reference	audit:reviewed	Audit: fine as-is.
zkp7daj58t	quizá	maybe	supporting	audit:reviewed	Audit: fine as-is.
b6sllrim7m	quizá	perhaps	reference	audit:reviewed	Audit: fine as-is.
x788022mpy	quizá	possibly	reference	audit:reviewed	Audit: fine as-is.
bhlxjf47nf	apenas	barely/hardly	reference	audit:reviewed	Audit: fine as-is.
5i08zx64uf	igual de [adjetivo]	just as [adjective]	reference	audit:reviewed	Audit: fine as-is.
vvjft5svqr	medio [adjetivo]	somewhat [adjective]	reference	audit:reviewed	Audit: fine as-is.
lslyoa2sdp	casi	almost	supporting	audit:reviewed	Audit: fine as-is.
mklavcovyq	por poco	almost	reference	audit:reviewed	Audit: fine as-is.
fxu8bkwlng	casi	nearly	reference	audit:reviewed	Audit: fine as-is.
ifdijt1kj7	ser poco [adjetivo]	to be not very [adjective]	reference	audit:reviewed	Audit: fine as-is.
nkxypzw7lg	soler [hacer algo]	to usually [do something]	supporting	audit:reviewed	Audit: fine as-is.
hodn6daubj	soler [hacer algo]	to often [do something]	reference	audit:reviewed	Audit: fine as-is.
wmmatrxzh1	además de [algo]	besides [something]	reference	audit:reviewed	Audit: fine as-is.
fzg570rb5k	además	moreover	reference	audit:reviewed	Audit: fine as-is.
gjot4oxazn	también	also	supporting	audit:reviewed	Audit: fine as-is.
jhcycetbge	además	also	reference	audit:reviewed	Audit: fine as-is.
3gfoetx7za	además	besides	reference	audit:reviewed	Audit: fine as-is.
