61gghvt40a	deber [algo] a [alguien]	to owe [something] to [somebody]	reference	audit:reviewed	Audit: fine as-is.
87vmd83t1p	deber ser [algo]	must be [something]	reference	audit:reviewed	Audit: fine as-is.
eemg8n6ho5	debí haber [hecho algo]	should have [done something]	reference	audit:reviewed	Audit: fine as-is.
ayed7fqlj3	deber haber [hecho algo]	must have [done something]	reference	audit:reviewed	Audit: fine as-is.
qj3wvut2bw	debía [hacer algo]	to have been supposed to [do something]	reference	audit:reviewed	Audit: fine as-is.
5qa1ueater	deberá [hacer algo]	will have to [do something]	reference	audit:reviewed	Audit: fine as-is.
w4ubw2gv4e	deberse a [algo]	to be due to [something]	reference	audit:reviewed	Audit: fine as-is.
6uhgsiqvvf	debido a [algo]	due to [something]	reference	audit:reviewed	Audit: fine as-is.
bhh5lkxsvd	deberle una a [alguien]	to owe [somebody] one	reference	audit:reviewed	Audit: fine as-is.
yxm2eedy90	dejar [algo] [en algún lugar]	to leave [something] [somewhere]	core	audit:reviewed	Audit: fine as-is.
zxbk3kr77z	dejar [algo] [en algún lugar]	to forget [something] [somewhere]	reference	audit:reviewed	Audit: fixed example — it was identical to its "to leave" sibling (same Spanish sentence, no way to tell the accidental "forgot" sense apart from the intentional "left" sense).	Dejé el paraguas en el tren sin darme cuenta.	I forgot my umbrella on the train.
egh1emsv3k	dejar [un lugar]	to leave [a place]	reference	audit:reviewed	Audit: fine as-is.
czlzxhiz8y	dejar [un proyecto o responsabilidad]	to abandon [a project or responsibility]	reference	audit:reviewed	Audit: fine as-is.
9bd5m6jcab	dejar [un proyecto o actividad]	to give up [a project or activity]	reference	audit:reviewed	Audit: fine as-is.
scirzjermw	dejar [algo] atrás	to leave [something] behind	reference	audit:reviewed	Audit: fine as-is.
xf3bu4p3qr	dejar plantado a [alguien]	to stand [somebody] up	reference	audit:reviewed	Audit: fine as-is.
fzsfzh2mfr	dejar pasar [una oportunidad]	to let [an opportunity] pass	reference	audit:reviewed	Audit: fine as-is.
qk02mephc9	dejar pasar [una oportunidad]	to pass up [an opportunity]	reference	audit:reviewed	Audit: fine as-is.
qj0lhiuc75	dejar en paz a [alguien]	to leave [somebody] alone	supporting	audit:reviewed	Audit: fine as-is.
hyx4uupf61	dejar [algo] encendido	to leave [something] on	reference	audit:reviewed	Audit: fine as-is.
zu4n3xn4x8	dejar [algo o alguien] por fuera	to leave [something or somebody] out	supporting	audit:reviewed	Audit: fine as-is.
goxootramx	dejarse llevar	to get carried away	reference	audit:reviewed	Audit: fine as-is.
j5psxk7lpd	dejar [algo o alguien] encargado con [alguien]	to leave [something or somebody] in [somebody's] care	reference	audit:reviewed	Audit: fine as-is.
ro9nxfyi16	dejar [algo] fuera	to leave [something] out	reference	audit:reviewed	Audit: fine as-is.
