8aag559cpt	siempre	always	core	topic:adv-time-frequency	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
d7uycdog37	nunca	never	core	topic:adv-time-frequency	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
jv2hb5h14i	casi nunca	almost never	reference	topic:adv-time-frequency	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
fkw0rhnl5g	a veces	sometimes	supporting	topic:adv-time-frequency	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
20vcqfxz7x	a menudo	often	supporting	topic:adv-time-frequency	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
mul6vzbji9	con frecuencia	often	reference	topic:adv-time-frequency	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
bsjihcs01e	casi siempre	almost always	reference	topic:adv-time-frequency	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
ulnbxqnhk3	todos los días	every day	supporting	topic:adv-time-frequency	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
t5atviywgi	todas las semanas	every week	reference	topic:adv-time-frequency	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
rf7wttxz5x	hoy	today	supporting	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
uklvuftocv	mañana	tomorrow	supporting	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
is83ex1r7e	pasado mañana	the day after tomorrow	reference	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
ozs312yyzn	ayer	yesterday	supporting	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
70f495461k	anteayer	the day before yesterday	reference	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
qeasfm79hz	ayer por la mañana	yesterday morning	reference	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
gid93lnngw	mañana por la mañana	tomorrow morning	reference	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
sk2u1fvotp	ayer por la tarde	yesterday afternoon	reference	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
53m0zvo429	mañana por la tarde	tomorrow afternoon	reference	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
yk8mablp0c	anoche	last night	reference	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
v2bifwqn7l	esta noche	tonight	supporting	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
ze0uol6k43	mañana por la noche	tomorrow night	reference	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
lrfioq96ny	¿cuándo [ocurre algo]?	when does [something happen]?	reference	topic:adv-time-relative-day	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
p5528lcbf2	aún no	not yet	reference	topic:adv-time-now-and-timing	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
lcz2539dyj	de pronto	suddenly	reference	topic:adv-time-now-and-timing	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
8rgf1v3z6t	ya	already	supporting	topic:adv-time-now-and-timing	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
bluzvvve73	todavía no	not yet	reference	topic:adv-time-now-and-timing	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
2b50xdv2ra	todavía	still	reference	topic:adv-time-now-and-timing	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
fv4tu6n5s9	más tarde	later	reference	topic:adv-time-now-and-timing	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
ucq0kj4623	[un período] después	[an amount of time] later	reference	topic:adv-time-now-and-timing	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
cecjai7o3s	ya no	not anymore	supporting	topic:adv-time-now-and-timing	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
840s7ssrox	tarde	late	reference	topic:adv-time-now-and-timing	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
44tis0284q	ahora	now	supporting	topic:adv-time-now-and-timing	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
ylf4grer5k	ya	now	reference	topic:adv-time-now-and-timing	Subtopic split (size rule): Adverbs' topic:time (38) split into frequency / relative-day / now-and-timing.
